SOURCE_FILE_ID	FILE_NAME	FILE_PATH	PIPELINE_NAME	IMPORTED_AT	IMPORT_STATUS	ROW_COUNT	NUM_ROWS_WITH_ERRORS	FILE_CHECKSUM	NOTES
55	realistic_cnv_mixed_events_import.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/realistic_cnv_mixed_events_import.cnv	ISCN Parser	2026-06-30 16:40:18.434923	PARTIAL_SUCCESS	12	0		WARNING: this file path was imported before
56	test.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/test.cnv	ISCN Parser	2026-06-30 16:40:18.439903	FAILED	3	0		WARNING: this file path was imported before
57	test_v2.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/test_v2.cnv	ISCN Parser	2026-06-30 16:40:18.440907	FAILED	23	0		WARNING: this file path was imported before
58	translocation_pair.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/translocation_pair.cnv	ISCN Parser	2026-06-30 16:40:18.442748	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
59	small_example.filtered_snpEff.ann.vcf	/Users/aminsuliman/Downloads/MPG_database_H2/data/small_example.filtered_snpEff.ann.vcf	VCF Importer	2026-06-30 16:40:18.468679	SUCCESS	15	0		
60	25-54321WGS_05Nov2025_SWGS111_SV_DEL_DUP_Classify_Result.txt	/Users/aminsuliman/Downloads/MPG_database_H2/data/25-54321WGS_05Nov2025_SWGS111_SV_DEL_DUP_Classify_Result.txt	NGS SV Caller	2026-06-30 16:43:12.953604	PARTIAL_SUCCESS	452	0		WARNING: this file path was imported before
61	array_derived_100.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/array_derived_100.cnv	ISCN Parser	2026-06-30 16:43:13.488082	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
62	example.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/example.cnv	ISCN Parser	2026-06-30 16:43:13.558981	PARTIAL_SUCCESS	3	0		WARNING: this file path was imported before
63	iscn_derived_100.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/iscn_derived_100.cnv	ISCN Parser	2026-06-30 16:43:13.563986	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
64	ngs_derived_100.txt	/Users/aminsuliman/Downloads/MPG_database_H2/data/ngs_derived_100.txt	NGS SV Caller	2026-06-30 16:43:13.613692	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
65	phase27_finding_model.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/phase27_finding_model.cnv	ISCN Parser	2026-06-30 16:43:13.711811	PARTIAL_SUCCESS	22	0		WARNING: this file path was imported before
66	realistic_cnv_mixed_events_import.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/realistic_cnv_mixed_events_import.cnv	ISCN Parser	2026-06-30 16:43:13.719534	PARTIAL_SUCCESS	12	0		WARNING: this file path was imported before
67	test.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/test.cnv	ISCN Parser	2026-06-30 16:43:13.724251	FAILED	3	0		WARNING: this file path was imported before
68	test_v2.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/test_v2.cnv	ISCN Parser	2026-06-30 16:43:13.725264	FAILED	23	0		WARNING: this file path was imported before
69	translocation_pair.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/translocation_pair.cnv	ISCN Parser	2026-06-30 16:43:13.727495	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
70	small_example.filtered_snpEff.ann.vcf	/Users/aminsuliman/Downloads/MPG_database_H2/data/small_example.filtered_snpEff.ann.vcf	VCF Importer	2026-06-30 16:43:13.751369	SUCCESS	15	0		
71	25-54321WGS_05Nov2025_SWGS111_SV_DEL_DUP_Classify_Result.txt	/Users/aminsuliman/Downloads/MPG_database_H2/data/25-54321WGS_05Nov2025_SWGS111_SV_DEL_DUP_Classify_Result.txt	NGS SV Caller	2026-06-30 16:43:35.491808	PARTIAL_SUCCESS	452	0		WARNING: this file path was imported before
72	array_derived_100.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/array_derived_100.cnv	ISCN Parser	2026-06-30 16:43:36.023886	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
73	example.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/example.cnv	ISCN Parser	2026-06-30 16:43:36.081509	PARTIAL_SUCCESS	3	0		WARNING: this file path was imported before
74	iscn_derived_100.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/iscn_derived_100.cnv	ISCN Parser	2026-06-30 16:43:36.086109	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
75	ngs_derived_100.txt	/Users/aminsuliman/Downloads/MPG_database_H2/data/ngs_derived_100.txt	NGS SV Caller	2026-06-30 16:43:36.143238	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
76	phase27_finding_model.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/phase27_finding_model.cnv	ISCN Parser	2026-06-30 16:43:36.235331	PARTIAL_SUCCESS	22	0		WARNING: this file path was imported before
77	realistic_cnv_mixed_events_import.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/realistic_cnv_mixed_events_import.cnv	ISCN Parser	2026-06-30 16:43:36.242496	PARTIAL_SUCCESS	12	0		WARNING: this file path was imported before
78	test.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/test.cnv	ISCN Parser	2026-06-30 16:43:36.246531	FAILED	3	0		WARNING: this file path was imported before
79	test_v2.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/test_v2.cnv	ISCN Parser	2026-06-30 16:43:36.247243	FAILED	23	0		WARNING: this file path was imported before
80	translocation_pair.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/translocation_pair.cnv	ISCN Parser	2026-06-30 16:43:36.249297	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
81	small_example.filtered_snpEff.ann.vcf	/Users/aminsuliman/Downloads/MPG_database_H2/data/small_example.filtered_snpEff.ann.vcf	VCF Importer	2026-06-30 16:43:36.271444	SUCCESS	15	0		
82	25-54321WGS_05Nov2025_SWGS111_SV_DEL_DUP_Classify_Result.txt	/Users/aminsuliman/Downloads/MPG_database_H2/data/25-54321WGS_05Nov2025_SWGS111_SV_DEL_DUP_Classify_Result.txt	NGS SV Caller	2026-06-30 16:43:58.145558	PARTIAL_SUCCESS	452	0		WARNING: this file path was imported before
83	array_derived_100.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/array_derived_100.cnv	ISCN Parser	2026-06-30 16:43:58.728359	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
84	example.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/example.cnv	ISCN Parser	2026-06-30 16:43:58.818301	PARTIAL_SUCCESS	3	0		WARNING: this file path was imported before
85	iscn_derived_100.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/iscn_derived_100.cnv	ISCN Parser	2026-06-30 16:43:58.823581	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
86	ngs_derived_100.txt	/Users/aminsuliman/Downloads/MPG_database_H2/data/ngs_derived_100.txt	NGS SV Caller	2026-06-30 16:43:58.885842	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
87	phase27_finding_model.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/phase27_finding_model.cnv	ISCN Parser	2026-06-30 16:43:59.002342	PARTIAL_SUCCESS	22	0		WARNING: this file path was imported before
88	realistic_cnv_mixed_events_import.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/realistic_cnv_mixed_events_import.cnv	ISCN Parser	2026-06-30 16:43:59.010544	PARTIAL_SUCCESS	12	0		WARNING: this file path was imported before
89	test.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/test.cnv	ISCN Parser	2026-06-30 16:43:59.015097	FAILED	3	0		WARNING: this file path was imported before
90	test_v2.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/test_v2.cnv	ISCN Parser	2026-06-30 16:43:59.01617	FAILED	23	0		WARNING: this file path was imported before
91	translocation_pair.cnv	/Users/aminsuliman/Downloads/MPG_database_H2/data/translocation_pair.cnv	ISCN Parser	2026-06-30 16:43:59.018134	PARTIAL_SUCCESS	100	0		WARNING: this file path was imported before
92	small_example.filtered_snpEff.ann.vcf	/Users/aminsuliman/Downloads/MPG_database_H2/data/small_example.filtered_snpEff.ann.vcf	VCF Importer	2026-06-30 16:43:59.044611	SUCCESS	15	0		
